game_id,name,platform_id,year,genre_id,publisher_id,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
67,Final Fantasy VII,16,1997,8,465,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,18,2013,9,17,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,26,2010,4,533,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,16,1999,7,465,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,29,2007,9,17,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,24,1994,5,369,4.36,1.71,3,0.23,9.3
73,Minecraft,29,2013,4,328,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,3,2012,10,369,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,5,2007,4,369,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,29,2011,8,65,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,24,1992,7,369,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,19,2015,11,139,1.11,6.06,0.06,1.26,8.49
79,Wii Party,26,2010,4,369,1.79,3.53,2.49,0.68,8.49
80,Halo 2,30,2004,9,328,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,26,2007,4,369,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,5,2012,8,369,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,18,2012,1,139,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,14,2009,10,139,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,11,1997,9,369,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,26,2007,11,453,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,17,2001,8,465,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,16,1999,8,476,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,5,2008,8,369,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,1,1982,6,54,7.28,0.45,0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,20,2005,1,499,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,26,2010,5,369,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),19,2015,9,139,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,19,2014,9,17,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,11,1998,1,369,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,16,1997,5,465,3.78,2.17,1.31,0.31,7.58
